date,value
1999-01-01,75.84496
1999-02-01,74.43296
1999-03-01,74.93725
1999-04-01,75.44154
1999-05-01,75.94582
1999-06-01,75.94582
1999-07-01,76.55097
1999-08-01,77.25697
1999-09-01,76.9544
1999-10-01,77.76126
1999-11-01,77.66041
1999-12-01,77.76126
2000-01-01,79.15593
2000-02-01,80.89562
2000-03-01,80.79897
2000-04-01,81.95876
2000-05-01,83.89175
2000-06-01,81.47552
2000-07-01,83.50516
2000-08-01,83.9884
2000-09-01,84.08505
2000-10-01,83.7951
2000-11-01,84.1817
2000-12-01,84.5683
2001-01-01,84.27835
2001-02-01,85.24484
2001-03-01,84.1817
2001-04-01,83.11855
2001-05-01,83.89175
2001-06-01,83.7951
2001-07-01,81.66882
2001-08-01,83.89175
2001-09-01,82.73196
2001-10-01,81.18557
2001-11-01,80.41237
2001-12-01,81.28222
2002-01-01,81.08892
2002-02-01,81.28222
2002-03-01,81.76546
2002-04-01,81.95876
2002-05-01,81.28222
2002-06-01,82.92525
2002-07-01,81.66882
2002-08-01,83.40851
2002-09-01,82.63531
2002-10-01,81.95876
2002-11-01,83.0219
2002-12-01,81.66882
2003-01-01,82.44201
2003-02-01,82.73196
2003-03-01,82.73196
2003-04-01,82.44201
2003-05-01,81.95876
2003-06-01,81.47552
2003-07-01,83.0219
2003-08-01,81.37887
2003-09-01,80.89562
2003-10-01,83.11855
2003-11-01,83.69846
2003-12-01,84.08505
2004-01-01,84.1817
2004-02-01,84.375
2004-03-01,83.69846
2004-04-01,84.9549
2004-05-01,85.63145
2004-06-01,84.9549
2004-07-01,86.11469
2004-08-01,85.24484
2004-09-01,85.05154
2004-10-01,86.11469
2004-11-01,84.66495
2004-12-01,84.7616
2005-01-01,86.59794
2005-02-01,85.63145
2005-03-01,86.59794
2005-04-01,87.17783
2005-05-01,86.21134
2005-06-01,87.95103
2005-07-01,89.11082
2005-08-01,86.79124
2005-09-01,88.82088
2005-10-01,90.46392
2005-11-01,89.59407
2005-12-01,89.59407
2006-01-01,90.56057
2006-02-01,90.75387
2006-03-01,89.88402
2006-04-01,91.72036
2006-05-01,92.59021
2006-06-01,92.30025
2006-07-01,93.84665
2006-08-01,94.3299
