horizon_months,us_block_share,de_ecb_block_share
0,0.6808819454415945,0.3191180545584054
1,0.66776188426173,0.33223811573826995
2,0.6672791925745113,0.3327208074254886
3,0.6649821423936995,0.3350178576063003
4,0.6639940677558183,0.33600593224418157
5,0.6642674891486371,0.3357325108513627
6,0.6644568978520421,0.33554310214795774
7,0.6644285205362565,0.33557147946374344
8,0.664393670182934,0.33560632981706584
9,0.6643976661912332,0.3356023338087667
10,0.6643983696650868,0.3356016303349131
11,0.6643856952468925,0.33561430475310716
12,0.6643757860807059,0.33562421391929387
13,0.664370860930831,0.33562913906916875
14,0.6643676242607243,0.33563237573927546
15,0.6643648860979319,0.335635113902068
16,0.6643628386140872,0.3356371613859126
17,0.6643614189927818,0.335638581007218
18,0.6643603773396648,0.33563962266033504
19,0.6643596033380107,0.3356403966619891
20,0.6643590526758609,0.3356409473241389
21,0.6643586691478962,0.3356413308521037
22,0.6643584008713062,0.33564159912869374
23,0.6643582144152522,0.3356417855847477
