horizon_months,us_ip,us_cpi,fed_funds,fed_bs,vix,us_10y,de_ip,de_cpi,ecb_rate,ecb_bs,de_10y
0,-0.011151856391736496,0.0426703249943272,0.002408285185533724,-0.0009014188676279382,-0.02461833280075262,0.11874108315830838,-0.002867936121735403,-0.0040085384027990145,0.0011727555450948715,-0.005760253257965155,0.08802341926594401
1,-0.01368455960903147,0.03585409104244869,0.00945244847108641,-0.005472618407073832,-0.003984296629768524,0.027677540731105878,-0.016904967467417778,0.027097317475718412,0.0026767347806656043,-0.0002559986744752913,0.025190392881352896
2,0.0001967829343865448,0.005968715907869807,0.007054991949749959,-0.02327211550158569,-0.011850517930944042,-0.011620697594198813,-0.007766203523520294,0.01732808595226238,0.0021094245373958656,-0.00963491242904465,-0.003573201844263287
3,0.009613587066806964,-0.0020761014107885515,0.004499128680094087,-0.005788595138831043,-0.0005864541314584071,-0.0070417449482633706,-0.010395435001439562,0.00961217882453556,-0.0007053443376602407,-0.0014160780615889664,0.0010937820521740057
4,0.0030457767266702245,-0.000829190790812106,0.00031312472579743996,0.0028385769942882518,0.006032397976664108,0.001990941836033253,-0.0038309593767891746,0.003833968384471509,-0.0016982881468487678,3.348508938473379e-05,0.0065103435899682835
5,-0.0022699072264826307,0.001675481414377425,0.002520448751610551,0.004635774386409346,0.0016715060191865821,0.0035918741470225106,0.0008690087043629262,0.0031796174659698938,-0.0005777053713445203,0.0002802081953836523,0.001494394868477952
6,-0.00299435874038187,0.0013980564726501841,0.0025206198498795656,0.002193219959027541,-0.0006614965133981889,0.0009727167337053458,-0.0006354051251063779,0.001071445638058937,-0.0003270306406246412,-0.0005764043853786026,-0.001082994458202588
7,-0.001504859840241241,0.0008959166117427013,0.0018550147245867976,0.0009015000281093065,0.00045434962730558876,-0.00022531963879634248,-0.0017650877779615737,0.0006255259266235075,-0.0006422484685846827,-0.00108819593560414,-0.00016336971692594319
8,9.434677002411668e-05,0.0008630920685496623,0.0015926356248170401,8.757955090592004e-05,0.0008412633790594498,0.0003384506051396314,-0.0011779865180112305,0.000773765926610867,-0.0008269664576199495,-0.0006425765140971304,0.0007738129821766174
9,0.00047945238495603586,0.0010586482079448223,0.0017190098285656357,8.287729278400532e-06,0.00017116944049944246,0.0006835765460037382,-0.0008618134312116444,0.0007734064573846588,-0.0007003530650509599,-0.00023429864635591692,0.000596552647820905
10,0.00013093440326033453,0.0008337111086410016,0.001460563762225008,0.0001262156755678684,-0.00020442400404935195,0.0005476925713621886,-0.0009162900329536745,0.0005446304635554974,-0.000600428552412019,-0.00012279399533619316,0.0002717555023267829
11,-0.00013368819285429956,0.000482666043569456,0.0009876528881499658,0.0003211574910286078,2.277315327288045e-05,0.00037285246034258703,-0.0008395241214632464,0.0004793192695406584,-0.0005654792627432689,-0.00019618660428132433,0.00017821301193094246
12,-0.00016497781381830847,0.00028532310104323544,0.0006855903626263535,0.00038069648161263576,0.00019034788966682505,0.00030127656692994045,-0.0006018996316025548,0.00040666418016279554,-0.0005412755021569548,-0.00021510126364537266,0.0001351191098730354
13,-0.000138761195086141,0.00023293976440664718,0.0005723835235774992,0.0003457938100580133,0.0001420950496123502,0.00021085410551703392,-0.0004151832612466532,0.0002880506337205348,-0.00048466801663433275,-0.00017400776849290034,3.974134953801486e-05
14,-0.00011908912206916711,0.00018652276223118803,0.00048012071624717496,0.0002834914629800344,7.351238207621508e-05,0.00012170973959810532,-0.0003360971663663306,0.00017336487298254591,-0.0004243497458733835,-0.00013075142527333407,-2.4731396839618167e-05
15,-9.864137595024193e-05,0.00013241637654804334,0.0003681713386875753,0.0002450454952962278,6.853955180312937e-05,8.131283456795105e-05,-0.0002869938539705863,0.0001093296984295304,-0.00037147170841813037,-0.00010334584158680294,-3.445660619244454e-05
16,-8.001152523888391e-05,9.315366379464349e-05,0.0002734332041448624,0.00021867278827141686,6.996482012813245e-05,7.105075623683333e-05,-0.00022468358255541817,7.54974234101299e-05,-0.00032353735811878136,-8.175278693139278e-05,-3.397156276656038e-05
17,-6.975137954886094e-05,6.803832488708494e-05,0.00020797447813001254,0.00019083459873836845,5.244860698522641e-05,5.571167726934219e-05,-0.0001676151262611387,4.9093088259718665e-05,-0.0002769804594135295,-6.349874798292003e-05,-4.485847617890557e-05
18,-6.323095414892497e-05,4.51505868095355e-05,0.0001561530970731347,0.00016220453763742925,3.613350912971146e-05,3.359289194066036e-05,-0.00012878164941132624,2.5439425367731816e-05,-0.00023474348587228125,-4.971055473114705e-05,-5.4500197029150736e-05
19,-5.514268462556299e-05,2.4647427954080613e-05,0.00011130519848204367,0.00013799750728461942,3.080149390630105e-05,1.6793033627822325e-05,-9.970391740153395e-05,8.614671009315128e-06,-0.00019824138849655322,-3.9359303029797226e-05,-5.535054942986269e-05
20,-4.617224040701896e-05,1.0349330934639994e-05,7.625554466714977e-05,0.00011766391068367707,2.781284966574108e-05,7.677526532568303e-06,-7.360913671070681e-05,-2.3514699014666654e-06,-0.00016645386664784783,-3.035440470857605e-05,-5.241548824659254e-05
21,-3.875090073913941e-05,1.62818410641248e-06,5.108832567812669e-05,9.941562018863615e-05,2.2280166496304702e-05,1.6107855042397394e-06,-5.204505368130479e-05,-1.0130876433327462e-05,-0.00013837713354124603,-2.2587575000605505e-05,-4.98604664175446e-05
22,-3.293072781745818e-05,-4.364341520035401e-06,3.2344540464232024e-05,8.294160601884278e-05,1.6763569845832354e-05,-3.4719754916494944e-06,-3.6310407901093215e-05,-1.5589539641041894e-05,-0.00011402723044908318,-1.6556231196934324e-05,-4.696034836502287e-05
23,-2.769662207731892e-05,-8.716901573171033e-06,1.7852968444339677e-05,6.865497720418389e-05,1.3193844350285968e-05,-6.968388953734622e-06,-2.472892559987989e-05,-1.8632981158536278e-05,-9.33558833823596e-05,-1.2063441379344813e-05,-4.281536838368498e-05
24,-2.2824991898133528e-05,-1.137461437595921e-05,7.1870881955195495e-06,5.646210815924929e-05,1.0640981689502715e-05,-8.779705475024078e-06,-1.5664043275266387e-05,-1.9814831327619513e-05,-7.591864758630817e-05,-8.554582976690945e-06,-3.8133184407449044e-05
