date,us_ip,us_cpi,fed_funds,fed_bs,vix,us_10y,de_ip,de_cpi,ecb_rate,ecb_bs,de_10y
2003-01-31,91.2361,182.6,1.24,13.476968781321652,27.42,4.05,82.44201,62.14,1.75,13.575640393567626,4.18
2003-02-28,91.3445,183.6,1.26,13.489752716660263,32.22,3.9,82.73196,62.49,1.75,13.580609406168522,3.955
2003-03-31,91.1044,183.9,1.25,13.49395314038997,30.63,3.81,82.73196,62.55,1.55,13.590708131477163,4.0004761905
2003-04-30,90.5617,183.2,1.26,13.522874903424826,23.99,3.96,82.44201,62.38,1.5,13.593170433816006,4.147
2003-05-31,90.537,182.9,1.26,13.520999890301649,20.24,3.57,81.95876,62.22,1.5,13.594159149801769,3.8152380952
2003-06-30,90.6527,183.1,1.22,13.519820507070957,20.36,3.33,81.47552,62.37,1.08,13.609184791576224,3.6166666667
2003-07-31,91.1185,183.7,1.01,13.51480403438974,19.16,3.98,83.0219,62.53,1.0,13.627341940378392,3.9726086957
2003-08-31,90.9197,184.5,1.03,13.51526590570602,19.27,4.45,81.37887,62.56,1.0,13.610710236209894,4.13
2003-09-30,91.5059,185.1,1.01,13.516016329204115,19.53,4.27,80.89562,62.49,1.0,13.628263691722825,4.1713636364
2003-10-31,91.6186,184.9,1.01,13.524184520997508,18.02,4.29,83.11855,62.43,1.0,13.61535817260068,4.2213043478
2003-11-30,92.2329,185.0,1.0,13.537070975146088,17.4,4.3,83.69846,62.3,1.0,13.633195801147199,4.353
2003-12-31,92.2602,185.5,0.98,13.556158053590792,16.83,4.27,84.08505,62.87,1.0,13.6353750101108,4.2910526316
2004-01-31,92.4006,186.3,1.0,13.534842496393235,16.1,4.15,84.1817,62.87,1.0,13.622401423924185,4.170952381
2004-02-29,92.958,186.7,1.01,13.528716091473747,16.0,4.08,84.375,62.99,1.0,13.62195493468104,4.11
2004-03-31,92.5861,187.1,1.0,13.542027204912307,17.69,3.83,83.69846,63.24,1.0,13.629601373322739,3.9134782609
2004-04-30,92.93,187.4,1.0,13.557939885852642,15.7,4.35,84.9549,63.42,1.0,13.657145342779721,4.097
2004-05-31,93.6013,188.2,1.0,13.555583720556497,17.71,4.72,85.63145,63.57,1.0,13.673082564831995,4.2533333333
2004-06-30,92.871,188.9,1.03,13.566508026617567,15.34,4.73,84.9549,63.57,1.0,13.705514872038703,4.3127272727
2004-07-31,93.5649,189.1,1.26,13.559218619550586,15.5,4.5,86.11469,63.78,1.0,13.691928364650554,4.2368181818
2004-08-31,93.6277,189.2,1.43,13.561182020387728,16.68,4.28,85.24484,63.9,1.0,13.689806735536127,4.0804545455
2004-09-30,93.7467,189.8,1.61,13.57513183062836,14.08,4.13,85.05154,63.64,1.0,13.694258888547212,4.0163636364
2004-10-31,94.5465,190.8,1.76,13.581477935317896,14.97,4.1,86.11469,63.81,1.0,13.703212701170951,3.8947619048
2004-11-30,94.7813,191.7,1.93,13.604735204185529,13.58,4.19,84.66495,63.53,1.0,13.709110613398451,3.7804545455
2004-12-31,95.5365,191.7,2.16,13.60595428015858,12.46,4.23,84.7616,64.25,1.0,13.692475881550715,3.5795238095
2005-01-31,95.8801,191.6,2.28,13.601403553793403,13.44,4.22,86.59794,63.88,1.0,13.704335392168687,3.5647619048
2005-02-28,96.5761,192.4,2.5,13.598070709566743,11.71,4.17,85.63145,64.13,1.0,13.7254206289105,3.544
2005-03-31,96.4456,193.1,2.63,13.60176148997931,13.13,4.5,86.59794,64.37,1.0,13.739098086336377,3.6961904762
2005-04-30,96.6532,193.7,2.79,13.604538877954912,14.46,4.34,87.17783,64.38,1.0,13.747744433715145,3.4823809524
2005-05-31,96.7402,193.6,3.0,13.604987038006167,13.97,4.14,86.21134,64.6,1.0,13.74055099253868,3.3040909091
2005-06-30,97.1753,193.7,3.04,13.604890756092649,11.87,4.0,87.95103,64.69,1.0,13.782850993323985,3.1263636364
2005-07-31,96.8676,194.9,3.26,13.61003377619376,11.05,4.18,89.11082,65.0,1.0,13.812301414166182,3.2057142857
2005-08-31,97.1833,196.1,3.5,13.620999409041959,12.95,4.26,86.79124,65.09,1.0,13.80775052665281,3.2326086957
